ISBN,TITLE,AUTHOR,PUBLISHER,YEAR,FOUND/NOT FOUND,LINK
4537253703,宗教がわかれば中東情勢が読める : イスラム教vsキリスト教vsユダヤ教 : なぜ陰惨なテロや戦争が続くのか!?,白取春彦,日本文芸社,2006,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102620140203941/catalog
9784764261594,イエスの「神の国」のイメージ : ユダヤ主義キリスト教への影響史,大貫隆,教文館,2021,Not Found,No Link
9784480067548,ユダヤ教キリスト教イスラーム : 一神教の連環を解く,菊地章太,筑摩書房,2013,Not Found,No Link
9784475001625,イディッシュ語辞典,上田和夫,大学書林,2010,"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/990131320570203941/catalog
9784828421995,みんな大好き陰謀論 : ダマされやすい人のためのリテラシー向上入門,内藤陽介,ビジネス社,2020,Not Found,No Link
nan,エズラ・パウンドとアメリカン・ファシズム : 人種と経済のユートピア幻想,"三宅昭良,",[三宅昭良],2001,Not Found,No Link
9784791769919,七十人訳ギリシア語聖書エレミヤ書,秦剛平,青土社,2017,Not Found,No Link
4623039536,帰依する世紀末 : ドイツ近代の原理主義者群像,竹中亨,ミネルヴァ書房,2004,Not Found,No Link
9784588008580,偶像崇拝 : その禁止のメカニズム,"モッシェ・ハルバータル,",法政大学出版局,2007,Not Found,No Link
9784908013690,空から見れば,ユバル・エルアザリィ,ワールドライブラリー,2016,Not Found,No Link
4061892061,かようびはシャンプー,ウーリー・オルレブ,講談社,2000,Not Found,No Link
9784309207599,クネレルのサマーキャンプ,エトガル・ケレット,河出書房新社,2018,Not Found,No Link
9784560083529,死の都の風景 : 記憶と心象の省察,オトー・ドフ・クルカ,白水社,2014,Not Found,No Link
